,Link,Defense_Games,Solo_Tackles,Assisted_Tackles,Ttl_Tackles,Loss,Sacks,Defensive_Interceptions,Def_Int_Yds,Yds_per_Int,Pick_6,Defended_Passes,Recovered_Fumbles,Rec_Fumbles_Yds,Fumbles_Returned_TD,Forced_Fumbles,Passing_Games,Completions,Pass_Attempts,Completion_Percent,Pass_Yards,Pass_Yds_per_Attempt,Adj_Pass_Yds_per_Attempt,Pass_TDs,Pass_Interceptions,Passer_Rating,Rushing/Receiving_Games,Rush_Attempts,Rush_Yds,Rush_Yds_per_Attempt,Rush_TDs,Receptions,Rec_Yds,Rec_Yds_per_Reception,Rec_TDs,Plays_from_Scrimmage,Scrimmage_Yds,Scrimmage_Yds_per_Attempt,Scrimmage_TDs,Kicking_Games,XP_Made,XP_Attempts,XP_Percent,FG_Made,FG_Attempts,FG_Percent,TTL_Kicking_Points,#Punts,Punt_Yds,Yds_per_Punt,PuntRet_Games,Punt_Returns,Punt_Return_Yds,Yrds_per_Return,Punt_Returned_for_TD,Kickoff_Returns,KO_Return_Yds,Yds_per_KO_Return,KO_Returned_for_TD,Scoring_Games,TD_Other,Ttl_TDs,2PT_Converstions,Safety,TTL_Points
0,https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0.0,0,0.0,0.0,0,0,0.0,11,302,1383,4.6,19,25,323,12.9,4,327,1706,5.2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,24,,,144
1,https://www.sports-reference.com/cfb/players/lavar-arrington-1.html,12,,,,,,1,27,27.0,0,,,,,,0,0,0,0,0,0,0,0,0,0,11,302,1383,4.6,19,25,323,12.9,4,327,1706,5.2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,0,,,0
2,https://www.sports-reference.com/cfb/players/john-baker-3.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,100.0,27,27.0,27.0,0,0,326.8,11,302,1383,4.6,19,25,323,12.9,4,327,1706,5.2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,302,1383,4.6,19,25,323,12.9,4,327,1706,5.2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,5,,,30
4,https://www.sports-reference.com/cfb/players/tom-brady-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,180,295,61.0,2217,7.5,7.7,16,6,138.0,11,34,-31,-0.9,1,,,,,34,-31,-0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,1,,,6
5,https://www.sports-reference.com/cfb/players/ralph-brown-2.html,12,,,,,,3,82,27.3,0,,,,,,0,0,0,0,0,0,0,0,0,0,11,34,-31,-0.9,1,,,,,34,-31,-0.9,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,1,,,,,12,,1,,,6
6,https://www.sports-reference.com/cfb/players/courtney-brown-1.html,12,,,,,,1,25,25.0,1,,,,,,0,0,0,0,0,0,0,0,0,0,11,34,-31,-0.9,1,,,,,34,-31,-0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,1,,,6
7,https://www.sports-reference.com/cfb/players/marc-bulger-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,145,239,60.7,1729,7.2,5.7,11,13,125.7,8,19,-124,-6.5,0,,,,,19,-124,-6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,,,0
8,https://www.sports-reference.com/cfb/players/plaxico-burress-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,100.0,7,7.0,7.0,0,0,158.8,8,19,-124,-6.5,0,,,,,19,-124,-6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,,,72
9,https://www.sports-reference.com/cfb/players/trung-canidate-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,253,1602,6.3,11,30,253,8.4,1,283,1855,6.6,12,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,12,,12,,,72
10,https://www.sports-reference.com/cfb/players/tyrone-carter-1.html,12,,,,,,0,0,,0,,,,,,0,0,0,0,0,0,0,0,0,0,12,253,1602,6.3,11,30,253,8.4,1,283,1855,6.6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,0,,,0
11,https://www.sports-reference.com/cfb/players/kwame-cavil-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,253,1602,6.3,11,30,253,8.4,1,283,1855,6.6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,,6,,,36
12,https://www.sports-reference.com/cfb/players/doug-chapman-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0.0,0,0.0,0.0,0,0,0.0,12,164,686,4.2,12,24,321,13.4,1,188,1007,5.4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,13,,,78
13,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,12,,,,,,1,34,34.0,1,,,,,,0,0,0,0,0,0,0,0,0,0,12,164,686,4.2,12,24,321,13.4,1,188,1007,5.4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,1,,,6
14,https://www.sports-reference.com/cfb/players/chris-cole-2.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,164,686,4.2,12,24,321,13.4,1,188,1007,5.4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,0,,,0
15,https://www.sports-reference.com/cfb/players/cosey-coleman-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,164,686,4.2,12,24,321,13.4,1,188,1007,5.4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
